panel_id	n_snps_available	K
P1_macroregion_africa_vs_asia	11086	1
P1_macroregion_africa_vs_asia	11086	2
P1_macroregion_africa_vs_asia	11086	3
P1_macroregion_africa_vs_asia	11086	4
P1_macroregion_africa_vs_asia	11086	5
P1_macroregion_africa_vs_asia	11086	10
P1_macroregion_africa_vs_asia	11086	20
P1_macroregion_africa_vs_asia	11086	50
P1_macroregion_africa_vs_asia	11086	100
P1_macroregion_africa_vs_asia	11086	200
P1_macroregion_africa_vs_asia	11086	500
P1_macroregion_africa_vs_asia	11086	1000
P1_macroregion_africa_vs_asia	11086	2000
P1_macroregion_africa_vs_asia	11086	5000
P1_macroregion_africa_vs_asia	11086	10000
P1_macroregion_africa_vs_asia	11086	11086
P2_subregion_within_africa	11001	1
P2_subregion_within_africa	11001	2
P2_subregion_within_africa	11001	3
P2_subregion_within_africa	11001	4
P2_subregion_within_africa	11001	5
P2_subregion_within_africa	11001	10
P2_subregion_within_africa	11001	20
P2_subregion_within_africa	11001	50
P2_subregion_within_africa	11001	100
P2_subregion_within_africa	11001	200
P2_subregion_within_africa	11001	500
P2_subregion_within_africa	11001	1000
P2_subregion_within_africa	11001	2000
P2_subregion_within_africa	11001	5000
P2_subregion_within_africa	11001	10000
P2_subregion_within_africa	11001	11001
P3_subregion_within_asia	11086	1
P3_subregion_within_asia	11086	2
P3_subregion_within_asia	11086	3
P3_subregion_within_asia	11086	4
P3_subregion_within_asia	11086	5
P3_subregion_within_asia	11086	10
P3_subregion_within_asia	11086	20
P3_subregion_within_asia	11086	50
P3_subregion_within_asia	11086	100
P3_subregion_within_asia	11086	200
P3_subregion_within_asia	11086	500
P3_subregion_within_asia	11086	1000
P3_subregion_within_asia	11086	2000
P3_subregion_within_asia	11086	5000
P3_subregion_within_asia	11086	10000
P3_subregion_within_asia	11086	11086
